年月,港口別,總計,國際貨櫃貨,散雜貨,管道貨
200101,國際商港,41530669,27272079,8612561,5646029
200101,基隆港,5895951,4610430,803013,482508
200101,臺中港,5666018,2641122,1915387,1109509
200101,高雄港,28293633,20020527,4516693,3756413
200101,花蓮港,1213775,0,1169938,43837
200101,臺北港,0,0,0,0
200101,蘇澳港,382239,0,153777,228462
200101,安平港,79053,0,53753,25300
200102,國際商港,41282493,27917255,8590882,4774356
200102,基隆港,6034719,4873968,841073,319678
200102,臺中港,5609645,2970162,1814764,824719
200102,高雄港,28145490,20068227,4688507,3388756
200102,花蓮港,1027847,0,988559,39288
200102,臺北港,0,0,0,0
200102,蘇澳港,363546,0,201661,161885
200102,安平港,101246,4898,56318,40030
200103,國際商港,48905404,33452541,9967031,5485832
200103,基隆港,7530528,5904810,1175559,450159
200103,臺中港,6955440,3591702,2365054,998684
200103,高雄港,32451291,23951673,4798764,3700854
200103,花蓮港,1409034,0,1353924,55110
200103,臺北港,0,0,0,0
200103,蘇澳港,436771,0,191846,244925
200103,安平港,122340,4356,81884,36100
200104,國際商港,46832762,31492467,10247251,5093044
200104,基隆港,7063284,5738859,1029706,294719
200104,臺中港,6365925,3294396,2125853,945676
200104,高雄港,31568356,22448520,5536765,3583071
200104,花蓮港,1262189,0,1218949,43240
200104,臺北港,0,0,0,0
200104,蘇澳港,451916,0,255078,196838
200104,安平港,121092,10692,80900,29500
200105,國際商港,48123524,32442831,10485595,5195098
200105,基隆港,7241842,5755905,1070431,415506
200105,臺中港,6601981,3342420,2205422,1054139
200105,高雄港,32279813,23336046,5532474,3411293
200105,花蓮港,1419385,0,1389486,29899
200105,臺北港,0,0,0,0
200105,蘇澳港,452885,0,204306,248579
200105,安平港,127618,8460,83476,35682
200106,國際商港,46100207,31567401,10076657,4456149
200106,基隆港,6700661,5414787,942145,343729
200106,臺中港,6151440,3123126,2171827,856487
200106,高雄港,31454242,23029488,5414518,3010236
200106,花蓮港,1260787,0,1246387,14400
200106,臺北港,0,0,0,0
200106,蘇澳港,454469,0,241772,212697
200106,安平港,78608,0,60008,18600
200107,國際商港,46725407,31504851,10201855,5018701
200107,基隆港,6638075,5235453,984923,417699
200107,臺中港,6512492,3143700,2517165,851627
200107,高雄港,31974902,23114898,5384654,3475350
200107,花蓮港,1111793,0,1066982,44811
200107,臺北港,0,0,0,0
200107,蘇澳港,389037,0,181023,208014
200107,安平港,99108,10800,67108,21200
200108,國際商港,47610935,32691663,10262717,4656555
200108,基隆港,7296175,5759271,1152197,384707
200108,臺中港,6354071,3254580,2317128,782363
200108,高雄港,32178945,23666400,5328925,3183620
200108,花蓮港,1286983,0,1247783,39200
200108,臺北港,0,0,0,0
200108,蘇澳港,395333,0,163265,232068
200108,安平港,99428,11412,53419,34597
200109,國際商港,43584849,30608541,8297663,4678645
200109,基隆港,6214623,5085882,779152,349589
200109,臺中港,6039115,3326976,1968020,744119
200109,高雄港,29943255,22186359,4398252,3358644
200109,花蓮港,989862,0,938746,51116
200109,臺北港,0,0,0,0
200109,蘇澳港,330889,0,181842,149047
200109,安平港,67105,9324,31651,26130
200110,國際商港,48895042,32775534,10743345,5376163
200110,基隆港,7409221,5812020,1151605,445596
200110,臺中港,6505296,3245778,2473854,785664
200110,高雄港,33212558,23717736,5657149,3837673
200110,花蓮港,1282844,0,1256621,26223
200110,臺北港,0,0,0,0
200110,蘇澳港,363387,0,133080,230307
200110,安平港,121736,0,71036,50700
200111,國際商港,45891597,31802247,9675233,4414117
200111,基隆港,7233917,5672799,1150169,410949
200111,臺中港,6323357,3337596,2139772,845989
200111,高雄港,30237255,22791852,4545295,2900108
200111,花蓮港,1531427,0,1487797,43630
200111,臺北港,0,0,0,0
200111,蘇澳港,403941,0,237000,166941
200111,安平港,161700,0,115200,46500
200112,國際商港,47390111,31858920,10704424,4826767
200112,基隆港,7159132,5506578,1211742,440812
200112,臺中港,6282958,3225186,2265152,792620
200112,高雄港,32007117,23127156,5517964,3361997
200112,花蓮港,1467498,0,1403417,64081
200112,臺北港,0,0,0,0
200112,蘇澳港,360044,0,192787,167257
200112,安平港,113362,0,113362,0
200201,國際商港,45009847,30671649,9604302,4733896
200201,基隆港,6973313,5469291,1182988,321034
200201,臺中港,6008469,3265380,1838233,904856
200201,高雄港,29960552,21924486,4781016,3255050
200201,花蓮港,1453865,0,1422763,31102
200201,臺北港,0,0,0,0
200201,蘇澳港,400867,0,232013,168854
200201,安平港,212781,12492,147289,53000
200202,國際商港,39019238,26531982,8522424,3964832
200202,基隆港,4977551,3909132,776489,291930
200202,臺中港,5587387,2684556,2153488,749343
200202,高雄港,26858095,19928574,4265599,2663922
200202,花蓮港,1066799,0,1041235,25564
200202,臺北港,0,0,0,0
200202,蘇澳港,401708,0,188835,212873
200202,安平港,127698,9720,96778,21200
200203,國際商港,50322602,35053344,10501896,4767362
200203,基隆港,7328895,5836644,1149200,343051
200203,臺中港,6531652,3784860,1827725,919067
200203,高雄港,34406886,25431840,5749740,3225306
200203,花蓮港,1408782,0,1356514,52268
200203,臺北港,0,0,0,0
200203,蘇澳港,437975,0,256205,181770
200203,安平港,208412,0,162512,45900
200204,國際商港,50588976,35125245,10834180,4629551
200204,基隆港,7717966,6134544,1244571,338851
200204,臺中港,6986119,3794868,2421045,770206
200204,高雄港,33830255,25175673,5415954,3238628
200204,花蓮港,1339555,0,1294179,45376
200204,臺北港,0,0,0,0
200204,蘇澳港,452405,0,254915,197490
200204,安平港,262676,20160,203516,39000
200205,國際商港,52685966,36126387,11498627,5060952
200205,基隆港,8058164,6207489,1368571,482104
200205,臺中港,7154431,3707964,2601098,845369
200205,高雄港,35396467,26201466,5748261,3446740
200205,花蓮港,1387288,0,1382665,4623
200205,臺北港,0,0,0,0
200205,蘇澳港,460497,0,219161,241336
200205,安平港,229119,9468,178871,40780
200206,國際商港,51321703,35771832,10959437,4590434
200206,基隆港,7697077,5994531,1176667,525879
200206,臺中港,7004215,3563100,2601446,839669
200206,高雄港,34756580,26209305,5592868,2954407
200206,花蓮港,1202958,0,1176838,26120
200206,臺北港,0,0,0,0
